Houses:
Kasey Hufflepuff
Myron Ravenclaw
Osvaldo Hufflepuff
Rudolf Ravenclaw
Ernestine Slytherin
Ruthann Ravenclaw
Belva Ravenclaw
Gloria Hufflepuff
Jacquelin Hufflepuff
Emmanuel Ravenclaw
Jan Ravenclaw
Fritz Gryffindor
Elliott Ravenclaw
Janis Ravenclaw
Elliott Hufflepuff
Elena Slytherin
Millie Ravenclaw
Olga Gryffindor
Donny Ravenclaw
Jeff Hufflepuff
Jonathan Ravenclaw
Katina Gryffindor
Rocio Gryffindor
Sandy Hufflepuff
Valentina Hufflepuff
Ernest Hufflepuff
Aletha Hufflepuff
Lynn Ravenclaw
Carolina Hufflepuff
Malissa Ravenclaw
Mohammad Ravenclaw
Emerson Slytherin
Adrianne Gryffindor
Sydney Ravenclaw
Thanh Gryffindor
Marisa Gryffindor
Demetrius Ravenclaw
Marcellus Hufflepuff
Archie Hufflepuff
Mohammed Gryffindor
Sharon Slytherin
Carla Hufflepuff
Magdalena Hufflepuff
Elisha Hufflepuff
Emma Hufflepuff
Roberto Hufflepuff
Luigi Hufflepuff
Royce Hufflepuff
Chrystal Ravenclaw
Chauncey Slytherin
Shirley Hufflepuff
Lacy Ravenclaw
Shelby Hufflepuff
Archie Slytherin
Reuben Hufflepuff
Marcos Hufflepuff
Lavern Hufflepuff
Adela Gryffindor
Oren Ravenclaw
Otha Hufflepuff
Marci Ravenclaw
Chelsea Slytherin
Bill Hufflepuff
Arthur Slytherin
Robyn Slytherin
Gloria Ravenclaw
Lissette Ravenclaw
Ken Slytherin
Grant Ravenclaw
Jae Ravenclaw
Kathrine Slytherin
Rhoda Hufflepuff
Simon Slytherin
Hunter Gryffindor
Tyrell Ravenclaw
Alfred Hufflepuff
Myron Gryffindor
Abram Ravenclaw
Laureen Ravenclaw
Myrna Hufflepuff
Arthur Ravenclaw
Dario Hufflepuff
Virginia Gryffindor
Gwendolyn Hufflepuff
Fabian Hufflepuff
Destiny Slytherin
Jenny Ravenclaw
Lucille Gryffindor
Faustino Hufflepuff
Isaiah Hufflepuff
Sandy Hufflepuff
George Ravenclaw
Jamie Ravenclaw
Errol Slytherin
Doug Slytherin
Kathi Gryffindor
Norbert Hufflepuff
Porter Ravenclaw
Wendi Slytherin
Shelby Hufflepuff
Louie Hufflepuff
Delbert Hufflepuff
Eddy Gryffindor
Tommie Hufflepuff
Reynaldo Ravenclaw
Danielle Gryffindor
Venita Gryffindor
Williams Ravenclaw
Bessie Hufflepuff
Lillie Gryffindor
Hugh Hufflepuff
Kasey Hufflepuff
Chanda Gryffindor
Olga Hufflepuff
Francesco Slytherin
Mohamed Gryffindor
Rhonda Gryffindor
Gale Ravenclaw
Stephenie Hufflepuff
Sydney Hufflepuff
Williams Ravenclaw
Collin Slytherin
Eloy Gryffindor
Doreen Slytherin
Johnie Gryffindor
Von Hufflepuff
Griselda Gryffindor
Lottie Gryffindor
Tony Gryffindor
Margo Gryffindor
Latonya Ravenclaw
Ernesto Ravenclaw
Randell Hufflepuff
Jeffry Ravenclaw
Oliver Slytherin
Graig Hufflepuff
Melva Hufflepuff
Ursula Ravenclaw
Eddy Ravenclaw
Maria Slytherin
Frederic Hufflepuff
Eugene Hufflepuff
Allan Ravenclaw
Clarence Ravenclaw
